order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_month,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,payment_sequential,payment_type,payment_installments,payment_value
610883752a98dcefa38fa9715c6b1e84,5fa7cd781c9f6a804a129880359ad5af,delivered,2018-04-09 18:32:37,2018-04-09 18:49:57,2018-04-13 21:11:22,2018-05-04 15:57:53,2018-05-11,2018-04,0cca3951123a69f3715dcdbd8c66cdae,96050,pelotas,RS,1,5da831182fe9ba6ab33ab17bbc5d16c7,4d6d651bd7684af3fffabd5f08d12e5a,2018-04-13 18:49:57,179.0,19.13,esporte_lazer,59.0,1423.0,2.0,6500.0,20.0,20.0,20.0,1,credit_card,2,198.13
0ad9d4e4f4c9746b59ddb9c18d30d241,34a015971bd8681dda63a6ac74d6c825,delivered,2018-08-02 15:30:52,2018-08-02 15:43:53,2018-08-03 11:20:00,2018-08-14 20:56:36,2018-09-05,2018-08,dc12569409e7f9dcd01e3449cb883571,65922,joao lisboa,MA,1,9988437646bfc0cbe0f97d4451cb08fc,d91fb3b7d041e83b64a00a3edfb37e4f,2018-08-07 15:43:53,100.0,51.42,eletrodomesticos,60.0,230.0,3.0,300.0,27.0,13.0,17.0,1,credit_card,1,151.42
189ede25eb8522abcbd3592d08811f85,074351a4c7eeaf083d43fe58e0d62dfc,delivered,2017-08-15 16:02:07,2017-08-16 03:30:12,2017-08-23 13:52:04,2017-09-02 13:03:29,2017-09-19,2017-08,4b3d808f367af1b335a50960f0b8fe93,29129,vila velha,ES,1,6dde44b4172999f35f08654d06bad633,7c67e1448b00f6e969d365cea6b010ab,2017-08-30 03:30:12,219.99,60.09,moveis_escritorio,55.0,1180.0,1.0,16167.0,64.0,62.0,25.0,1,boleto,1,280.08
3892e6d2a2c4ac6ff5b68904a08e2099,9bf783bdfc2d399546513a3aaadca64f,delivered,2018-03-24 12:12:45,2018-03-24 12:27:34,2018-03-26 20:34:55,2018-03-31 16:41:43,2018-04-12,2018-03,8c9f6ab6e911d44c9a96b51bdceb7f54,88075,florianopolis,SC,1,42697582a754e573f9e3e9e78752252c,87142160b41353c4e5fca2360caf6f92,2018-03-29 12:27:34,69.0,18.06,informatica_acessorios,45.0,264.0,1.0,1644.0,16.0,19.0,16.0,1,credit_card,1,87.06
1f8956ea49b1eba62dd40aa5f7ac9133,dc855a052cb86604fb4d65498cece939,delivered,2017-08-18 12:37:40,2017-08-18 12:50:22,2017-08-18 19:23:35,2017-08-28 19:26:02,2017-09-18,2017-08,1711d45a24a27a32bdf35537e866d0f4,74280,goiania,GO,2,e2bb00220a167d9e60b6776ac33717bc,6560211a19b47992c3666cc44a7e94c0,2017-08-24 12:50:22,56.0,14.14,relogios_presentes,60.0,504.0,1.0,300.0,16.0,2.0,20.0,1,credit_card,1,140.28
8b077b8596bc4dddd67331311917d107,6104de8d891cf5373cfd7365b71a2b3f,delivered,2017-04-03 11:47:47,2017-04-05 02:42:40,2017-04-11 11:33:04,2017-04-17 09:36:04,2017-04-24,2017-04,520f032ab7d5fdde131bbc6d7e3520b6,13710,tambau,SP,1,624b5655a9d76b5a0e7d780dc4733887,ef506c96320abeedfb894c34db06f478,2017-04-11 02:42:40,34.99,10.96,telefonia,53.0,264.0,2.0,200.0,19.0,4.0,11.0,1,boleto,1,45.95
09944d214dbe0d92666178941a674632,2c94f489b623224edf7fa984b32fd68c,delivered,2017-08-17 16:22:45,2017-08-18 20:24:28,2017-08-23 18:14:38,2017-08-29 17:30:10,2017-09-13,2017-08,74a4f9d76fbe2a84d70da33ce66e2e18,23893,seropedica,RJ,1,f1c7f353075ce59d8a6f3cf58f419c9c,37be5a7c751166fbc5f8ccba4119e043,2017-08-28 20:24:28,200.0,26.24,cama_mesa_banho,56.0,162.0,5.0,9750.0,35.0,12.0,30.0,1,credit_card,4,226.24
dae7f9d0e25515e268456f392f53751e,5532be41e9d5c92ba7a6b9c6937d429e,delivered,2018-07-19 20:33:49,2018-07-19 20:45:12,2018-07-23 10:04:00,2018-07-24 12:08:26,2018-08-01,2018-07,e4ccba2bd3c63fd05d8db68df49391f5,6765,taboao da serra,SP,1,b532349fe46b38fbc7bb3914c1bdae07,1025f0e2d44d7041d6cf58b6550e0bfa,2018-07-26 20:45:12,35.0,9.0,moveis_decoracao,49.0,829.0,1.0,850.0,20.0,25.0,20.0,1,credit_card,1,88.0
b7994d35101970f5e1a4621fe05cc1e9,79c07db4dd2ebdf63826672146b15128,delivered,2017-11-17 19:48:19,2017-11-17 20:35:43,2017-11-21 17:22:30,2017-11-22 17:18:42,2017-12-04,2017-11,f671cb35b7e04c48331ba6b143ff6f5b,9581,sao caetano do sul,SP,1,2b4609f8948be18874494203496bc318,cc419e0650a3c5ba77189a1882b7556a,2017-11-27 20:31:05,89.99,9.44,beleza_saude,59.0,492.0,3.0,250.0,22.0,10.0,18.0,1,credit_card,3,99.43
a512132380fbd3ae24feca8ee9512efa,3a9686af66e7ba1291b19d2e41d584ce,delivered,2017-11-05 10:22:05,2017-11-05 10:30:32,2017-11-08 19:11:31,2017-11-21 14:42:21,2017-12-04,2017-11,c85df1c6ef6f7bb605e1c49d34f172ee,78554,sinop,MT,1,368c6c730842d78016ad823897a372db,1f50f920176fa81dab994f9023523100,2017-11-09 10:30:29,59.9,19.66,ferramentas_jardim,57.0,366.0,2.0,1650.0,30.0,22.0,30.0,1,credit_card,1,159.12
